Année,Region,Pays,ISO3,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2023,Europe (hors France),Norvège,NOR,228,80,5499.0,"291,2"
2023,Europe (hors France),Pays-Bas,NLD,645,157,10059.0,"190,3"
2023,Europe (hors France),Portugal,PRT,342,65,6265.0,"216,9"
2023,Europe (hors France),Royaume-Uni,GBR,3827,1151,52935.0,"166,4"
2023,Europe (hors France),Russie,RUS,109,36,1839.0,"195,4"
2023,Europe (hors France),Suède,SWE,389,115,7013.0,"224,9"
2023,Europe (hors France),Suisse,CHE,3483,872,72720.0,"251,4"
2023,France,France,FRA,79335,8230,2029850.0,"313,4"
2023,Pacifique,Australie,AUS,7718,2391,97799.0,"151,4"
2023,Pacifique,Autre Pacifique,,387,18,6246.0,"180,1"
2023,Pacifique,Cook,COK,407,7,3978.0,"100,6"
2023,Pacifique,Fidji,FJI,150,7,1988.0,"134,8"
2023,Pacifique,Nouvelle-Calédonie,NCL,6899,214,110763.0,"188,3"
2023,Pacifique,Nouvelle-Zélande,NZL,8471,1046,93271.0,"130,2"
2023,Pacifique,Samoa,WSM,26,2,373.0,"115,7"
2023,Pacifique,Tonga,TON,55,0,896.0,143
2023,Proche et Moyen Orient,Proche et Moyen Orient,,490,88,6886.0,"166,4"
2022,Afrique,Afrique,,306,117,8335.0,"338,3"
2022,Amérique Centrale,Autre Amérique Centrale,,345,99,5116.0,"203,7"
2022,Amérique Centrale,Mexique,MEX,605,126,8090.0,"167,6"
2022,Amérique du Nord,Canada,CAN,9507,5413,129184.0,"183,8"
2022,Amérique du Nord,Hawaii,USA,2902,500,36470.0,"152,7"
2022,Amérique du Nord,USA,USA,91543,19813,956850.0,"126,6"
2022,Amérique du Sud,Argentine,ARG,164,32,2996.0,"270,9"
2022,Amérique du Sud,Autre Amérique du Sud,,234,73,3697.0,"211,6"
2022,Amérique du Sud,Brésil,BRA,474,105,7451.0,"198,4"
2022,Amérique du Sud,Chili,CHL,166,33,3434.0,"241,2"
2022,Asie,Autre Asie,,59,25,2260.0,"422,1"
2022,Asie,Chine,CHN,162,9,1572.0,"119,7"
2022,Asie,Corée du Sud,KOR,239,5,4032.0,"181,3"
2022,Asie,Hong Kong,HKG,59,3,1172.0,"231,4"
2022,Asie,Inde,IND,71,22,1959.0,"362,8"
2022,Asie,Indonésie,IDN,90,54,1662.0,"213,7"
2022,Asie,Japon,JPN,278,10,3473.0,"204,7"
2022,Asie,Malaisie,MYS,30,5,520.0,"218,5"
2022,Asie,Philippines,PHL,302,245,3400.0,140
2022,Asie,Singapour,SGP,186,18,2509.0,"179,8"
2022,Asie,Taïwan,TWN,91,1,999.0,"142,2"
2022,Asie,Thaïlande,THA,41,4,1296.0,"318,6"
2022,Europe (hors France),Allemagne,DEU,3044,949,63099.0,"257,5"
2022,Europe (hors France),Autre Europe,,2210,714,38123.0,"207,3"
2022,Europe (hors France),Autriche,AUT,424,176,9726.0,"287,1"
2022,Europe (hors France),Belgique,BEL,1626,411,37878.0,"295,5"
2022,Europe (hors France),Danemark,DNK,915,596,41188.0,551
2022,Europe (hors France),Espagne,ESP,2072,237,29315.0,"176,5"
2022,Europe (hors France),Finlande,FIN,86,24,1123.0,"127,6"
2022,Europe (hors France),Italie,ITA,5885,351,74553.0,"195,6"
2022,Europe (hors France),Luxembourg,LUX,284,47,5409.0,"208,2"
2022,Europe (hors France),Norvège,NOR,189,83,4017.0,225
2022,Europe (hors France),Pays-Bas,NLD,552,170,12174.0,"283,3"
2022,Europe (hors France),Portugal,PRT,285,66,5585.0,"227,6"
2022,Europe (hors France),Royaume-Uni,GBR,3258,1005,47419.0,"186,5"
2022,Europe (hors France),Russie,RUS,61,35,1323.0,"273,5"
2022,Europe (hors France),Suède,SWE,251,93,5577.0,"274,7"
2022,Europe (hors France),Suisse,CHE,2494,664,58966.0,"299,1"
2022,France,France,FRA,71305,7722,1869095.0,"325,2"
2022,Pacifique,Australie,AUS,4468,1504,63713.0,210
2022,Pacifique,Autre Pacifique,,196,10,3449.0,"165,2"
2022,Pacifique,Cook,COK,173,6,2106.0,"181,5"
2022,Pacifique,Fidji,FJI,91,1,1505.0,"124,4"
2022,Pacifique,Nouvelle-Calédonie,NCL,5483,211,99720.0,"213,1"
2022,Pacifique,Nouvelle-Zélande,NZL,5096,750,64494.0,272
2022,Pacifique,Samoa,WSM,44,0,817.0,"74,1"
2022,Pacifique,Tonga,TON,35,0,906.0,"137,1"
2022,Proche et Moyen Orient,Proche et Moyen Orient,,369,73,5921.0,"193,1"
2021,Afrique,Afrique,,65,26,2316.0,"384,1"
2021,Amérique Centrale,Autre Amérique Centrale,,61,18,1198.0,"270,2"
2021,Amérique Centrale,Mexique,MEX,76,11,1301.0,"215,5"
2021,Amérique du Nord,Canada,CAN,1287,350,25510.0,"338,4"
2021,Amérique du Nord,Hawaii,USA,869,123,12354.0,"206,1"
2021,Amérique du Nord,USA,USA,40084,6080,439921.0,"164,9"
2021,Amérique du Sud,Argentine,ARG,32,20,874.0,"188,5"
2021,Amérique du Sud,Autre Amérique du Sud,,59,10,803.0,"122,1"
2021,Amérique du Sud,Brésil,BRA,34,14,1145.0,"240,3"
2021,Amérique du Sud,Chili,CHL,28,3,476.0,156
2021,Asie,Autre Asie,,17,9,814.0,"328,4"
2021,Asie,Chine,CHN,18,1,184.0,"54,7"
2021,Asie,Corée du Sud,KOR,33,0,855.0,"218,3"
2021,Asie,Hong Kong,HKG,12,1,643.0,"437,3"
2021,Asie,Inde,IND,12,11,226.0,"89,1"
2021,Asie,Indonésie,IDN,42,39,779.0,"109,4"
2021,Asie,Japon,JPN,23,2,474.0,"210,5"
2021,Asie,Malaisie,MYS,8,1,390.0,205
2021,Asie,Philippines,PHL,139,112,2913.0,"262,2"
2021,Asie,Singapour,SGP,24,4,671.0,"332,2"
2021,Asie,Taïwan,TWN,8,1,167.0,"89,7"
2021,Asie,Thaïlande,THA,1,0,90.0,90
2021,Europe (hors France),Allemagne,DEU,753,251,20726.0,"422,4"
2021,Europe (hors France),Autre Europe,,583,199,14192.0,"374,3"
2021,Europe (hors France),Autriche,AUT,108,36,3510.0,"264,7"
2021,Europe (hors France),Belgique,BEL,521,125,15981.0,"428,6"
2021,Europe (hors France),Danemark,DNK,286,209,14478.0,"573,2"
2021,Europe (hors France),Espagne,ESP,420,71,9499.0,"425,5"
2021,Europe (hors France),Finlande,FIN,17,4,297.0,"75,6"
2021,Europe (hors France),Italie,ITA,527,53,11099.0,"392,6"
2021,Europe (hors France),Luxembourg,LUX,84,23,2074.0,"193,6"
2021,Europe (hors France),Norvège,NOR,27,17,1191.0,"233,9"
2021,Europe (hors France),Pays-Bas,NLD,98,41,3409.0,"379,8"
2021,Europe (hors France),Portugal,PRT,84,31,1529.0,"171,1"
2021,Europe (hors France),Royaume-Uni,GBR,516,181,12616.0,"381,4"
2021,Europe (hors France),Russie,RUS,20,14,704.0,"274,5"
2021,Europe (hors France),Suède,SWE,58,13,2223.0,"372,7"
2021,Europe (hors France),Suisse,CHE,688,147,20950.0,"330,7"
2021,France,France,FRA,34202,3968,1078020.0,"541,5"
2021,Pacifique,Australie,AUS,94,41,4630.0,411
2021,Pacifique,Autre Pacifique,,8,2,539.0,380
2021,Pacifique,Fidji,FJI,1,1,30.0,30
2021,Pacifique,Nouvelle-Calédonie,NCL,370,15,10600.0,"368,9"
2021,Pacifique,Nouvelle-Zélande,NZL,68,43,3319.0,657
2021,Proche et Moyen Orient,Proche et Moyen Orient,,81,8,1221.0,"175,3"
2020,Afrique,Afrique,,103,43,3335.0,"322,7"
2020,Amérique Centrale,Autre Amérique Centrale,,69,23,1262.0,"194,7"
2020,Amérique Centrale,Mexique,MEX,282,69,3396.0,"112,1"
2020,Amérique du Nord,Canada,CAN,2019,737,30599.0,"220,7"
2020,Amérique du Nord,Hawaii,USA,730,234,9097.0,"145,9"
2020,Amérique du Nord,USA,USA,31555,5048,326435.0,"98,6"
2020,Amérique du Sud,Argentine,ARG,249,36,3621.0,"141,9"
2020,Amérique du Sud,Autre Amérique du Sud,,89,15,1059.0,"114,8"
2020,Amérique du Sud,Brésil,BRA,236,19,3109.0,"109,7"
2020,Amérique du Sud,Chili,CHL,403,23,5309.0,"119,4"
2020,Asie,Autre Asie,,17,3,614.0,"342,6"
2020,Asie,Chine,CHN,638,7,5594.0,"137,1"
2020,Asie,Corée du Sud,KOR,146,7,1828.0,326
2020,Asie,Hong Kong,HKG,89,7,1043.0,"144,7"
2020,Asie,Inde,IND,86,6,564.0,"22,5"
2020,Asie,Indonésie,IDN,29,15,318.0,"35,6"
2020,Asie,Japon,JPN,1071,75,7678.0,"57,6"
2020,Asie,Malaisie,MYS,17,1,273.0,"44,8"
2020,Asie,Philippines,PHL,63,50,936.0,"156,6"
2020,Asie,Singapour,SGP,54,13,574.0,"130,9"
2020,Asie,Taïwan,TWN,93,7,824.0,"53,9"
2020,Asie,Thaïlande,THA,29,12,518.0,"87,6"
2020,Europe (hors France),Allemagne,DEU,1362,500,25507.0,238
2020,Europe (hors France),Autre Europe,,965,331,15576.0,"214,9"
2020,Europe (hors France),Autriche,AUT,164,45,3371.0,"243,7"
2020,Europe (hors France),Belgique,BEL,510,123,12874.0,"247,7"
2020,Europe (hors France),Danemark,DNK,208,111,8543.0,"490,7"
2020,Europe (hors France),Espagne,ESP,404,63,8045.0,"196,1"
2020,Europe (hors France),Finlande,FIN,61,10,885.0,"85,1"
2020,Europe (hors France),Italie,ITA,439,70,9487.0,"235,4"
2020,Europe (hors France),Luxembourg,LUX,89,20,2200.0,"273,4"
2020,Europe (hors France),Norvège,NOR,48,10,870.0,"178,6"
2020,Europe (hors France),Pays-Bas,NLD,248,55,6599.0,"304,1"
2020,Europe (hors France),Portugal,PRT,107,8,2224.0,249
2020,Europe (hors France),Royaume-Uni,GBR,1117,411,17459.0,"208,7"
2020,Europe (hors France),Russie,RUS,160,68,2301.0,"157,3"
2020,Europe (hors France),Suède,SWE,130,40,2164.0,"243,4"
2020,Europe (hors France),Suisse,CHE,769,159,19272.0,"264,5"
2020,France,France,FRA,28112,2862,799571.0,"271,4"
2020,Pacifique,Australie,AUS,1230,384,13147.0,"263,2"
2020,Pacifique,Autre Pacifique,,56,3,746.0,"62,2"
2020,Pacifique,Cook,COK,55,5,425.0,"20,6"
2020,Pacifique,Fidji,FJI,25,1,482.0,"166,7"
2020,Pacifique,Nouvelle-Calédonie,NCL,1356,40,23334.0,447
2020,Pacifique,Nouvelle-Zélande,NZL,1168,164,13001.0,222
2020,Pacifique,Samoa,WSM,15,0,195.0,"85,2"
2020,Pacifique,Tonga,TON,2,0,10.0,10
2020,Proche et Moyen Orient,Proche et Moyen Orient,,150,32,3009.0,221
2019,Afrique,Afrique,,336,67,6309.0,"244,1"
2019,Amérique Centrale,Autre Amérique Centrale,,273,104,3504.0,"154,7"
2019,Amérique Centrale,Mexique,MEX,961,153,10945.0,"136,3"
2019,Amérique du Nord,Canada,CAN,7958,3529,105941.0,"163,1"
2019,Amérique du Nord,Hawaii,USA,3536,850,38539.0,"130,7"
2019,Amérique du Nord,USA,USA,85225,21364,857229.0,121
2019,Amérique du Sud,Argentine,ARG,1073,144,14847.0,"168,1"
2019,Amérique du Sud,Autre Amérique du Sud,,580,140,7010.0,"142,8"
2019,Amérique du Sud,Brésil,BRA,1871,243,24930.0,159
2019,Amérique du Sud,Chili,CHL,2456,154,30808.0,"150,9"
2019,Asie,Autre Asie,,83,9,1126.0,146
2019,Asie,Chine,CHN,3345,194,30650.0,111
2019,Asie,Corée du Sud,KOR,1034,44,9623.0,"114,6"
2019,Asie,Hong Kong,HKG,415,65,4859.0,"134,4"
2019,Asie,Inde,IND,405,49,3431.0,106
2019,Asie,Indonésie,IDN,146,79,1809.0,"159,5"
2019,Asie,Japon,JPN,8176,504,59951.0,88
2019,Asie,Malaisie,MYS,137,34,1742.0,"145,6"
2019,Asie,Philippines,PHL,238,163,2223.0,"107,1"
2019,Asie,Singapour,SGP,404,48,4807.0,140
2019,Asie,Taïwan,TWN,571,28,5903.0,"122,7"
2019,Asie,Thaïlande,THA,200,57,2848.0,"169,5"
2019,Europe (hors France),Allemagne,DEU,5010,1803,73359.0,178
2019,Europe (hors France),Autre Europe,,2828,702,37662.0,"160,1"
2019,Europe (hors France),Autriche,AUT,818,336,12262.0,"182,4"
2019,Europe (hors France),Belgique,BEL,1502,351,28194.0,"218,5"
2019,Europe (hors France),Danemark,DNK,569,228,12638.0,"271,4"
2019,Europe (hors France),Espagne,ESP,2775,288,33808.0,"151,2"
2019,Europe (hors France),Finlande,FIN,184,13,2549.0,"163,5"
2019,Europe (hors France),Italie,ITA,8369,667,93642.0,"153,4"
2019,Europe (hors France),Luxembourg,LUX,235,48,4098.0,"191,6"
2019,Europe (hors France),Norvège,NOR,309,99,5298.0,"205,4"
2019,Europe (hors France),Pays-Bas,NLD,667,116,9859.0,"176,9"
2019,Europe (hors France),Portugal,PRT,316,44,4544.0,"179,2"
2019,Europe (hors France),Royaume-Uni,GBR,4424,1117,53420.0,"145,3"
2019,Europe (hors France),Russie,RUS,486,183,6641.0,184
2019,Europe (hors France),Suède,SWE,480,177,7820.0,194
2019,Europe (hors France),Suisse,CHE,3524,922,64504.0,"220,7"
2019,France,France,FRA,60382,5829,1540736.0,"308,3"
2019,Pacifique,Australie,AUS,8204,2663,99699.0,"144,5"
2019,Pacifique,Autre Pacifique,,313,11,4215.0,"173,9"
2019,Pacifique,Cook,COK,456,16,5605.0,"157,8"
2019,Pacifique,Fidji,FJI,75,2,819.0,"117,1"
2019,Pacifique,Nouvelle-Calédonie,NCL,6522,230,110907.0,"203,1"
2019,Pacifique,Nouvelle-Zélande,NZL,7960,1239,83942.0,"123,1"
2019,Pacifique,Samoa,WSM,46,2,392.0,"108,1"
2019,Pacifique,Tonga,TON,41,0,426.0,"75,1"
2019,Proche et Moyen Orient,Proche et Moyen Orient,,724,117,8781.0,"143,6"
2018,Afrique,Afrique,,377,83,7908.0,"247,7"
2018,Amérique Centrale,Autre Amérique Centrale,,254,89,2656.0,"128,6"
2018,Amérique Centrale,Mexique,MEX,930,267,10497.0,"137,9"
2018,Amérique du Nord,Canada,CAN,7846,3887,105314.0,"165,5"
2018,Amérique du Nord,Hawaii,USA,3244,762,36279.0,"131,9"
2018,Amérique du Nord,USA,USA,72383,21060,725305.0,"120,7"
2018,Amérique du Sud,Argentine,ARG,2067,162,28275.0,"169,1"
2018,Amérique du Sud,Autre Amérique du Sud,,519,153,6194.0,"141,2"
2018,Amérique du Sud,Brésil,BRA,1788,247,21182.0,"146,5"
2018,Amérique du Sud,Chili,CHL,2018,151,24620.0,"144,3"
2018,Asie,Autre Asie,,101,45,1463.0,"165,3"
2018,Asie,Chine,CHN,5055,225,44205.0,108
2018,Asie,Corée du Sud,KOR,1051,49,8934.0,"103,9"
2018,Asie,Hong Kong,HKG,368,80,4555.0,"153,9"
2018,Asie,Inde,IND,403,37,2930.0,"90,3"
2018,Asie,Indonésie,IDN,167,92,4231.0,"297,3"
2018,Asie,Japon,JPN,9912,445,71933.0,"87,8"
2018,Asie,Malaisie,MYS,111,28,1435.0,170
2018,Asie,Philippines,PHL,201,133,1784.0,"109,1"
2018,Asie,Singapour,SGP,335,55,3601.0,"126,5"
2018,Asie,Taïwan,TWN,519,68,5275.0,117
2018,Asie,Thaïlande,THA,243,52,3874.0,"190,9"
2018,Europe (hors France),Allemagne,DEU,4539,1563,70416.0,"189,3"
2018,Europe (hors France),Autre Europe,,2454,523,31539.0,"154,9"
2018,Europe (hors France),Autriche,AUT,775,317,12850.0,"197,8"
2018,Europe (hors France),Belgique,BEL,1243,292,24885.0,"256,3"
2018,Europe (hors France),Danemark,DNK,509,199,12969.0,"308,5"
2018,Europe (hors France),Espagne,ESP,2530,230,29603.0,"143,7"
2018,Europe (hors France),Finlande,FIN,221,31,2508.0,"141,7"
2018,Europe (hors France),Italie,ITA,8802,598,97309.0,"147,7"
2018,Europe (hors France),Luxembourg,LUX,271,61,4522.0,"188,7"
2018,Europe (hors France),Norvège,NOR,292,92,4396.0,"178,6"
2018,Europe (hors France),Pays-Bas,NLD,706,166,12215.0,"218,4"
2018,Europe (hors France),Portugal,PRT,267,42,3965.0,"178,5"
2018,Europe (hors France),Royaume-Uni,GBR,4382,1162,52128.0,"142,7"
2018,Europe (hors France),Russie,RUS,526,214,6541.0,"152,7"
2018,Europe (hors France),Suède,SWE,489,128,6495.0,"159,9"
2018,Europe (hors France),Suisse,CHE,3406,968,64170.0,"225,6"
2018,France,France,FRA,49272,4539,1282957.0,"320,1"
2018,Pacifique,Australie,AUS,9335,2617,109736.0,"140,1"
2018,Pacifique,Autre Pacifique,,628,28,9309.0,"169,1"
2018,Pacifique,Cook,COK,243,14,2583.0,"123,7"
2018,Pacifique,Fidji,FJI,109,1,1606.0,"144,5"
2018,Pacifique,Nouvelle-Calédonie,NCL,5684,195,94060.0,"195,2"
2018,Pacifique,Nouvelle-Zélande,NZL,8947,1370,99330.0,"126,7"
2018,Pacifique,Samoa,WSM,58,1,1690.0,"169,7"
2018,Pacifique,Tonga,TON,43,0,459.0,"137,1"
2018,Proche et Moyen Orient,Proche et Moyen Orient,,645,110,7688.0,"141,9"
2017,Afrique,Afrique,,299,59,5891.0,"219,9"
2017,Amérique Centrale,Autre Amérique Centrale,,206,36,2232.0,123
2017,Amérique Centrale,Mexique,MEX,765,164,7992.0,"123,5"
2017,Amérique du Nord,Canada,CAN,6372,2601,82201.0,"158,8"
2017,Amérique du Nord,Hawaii,USA,2837,536,30906.0,"129,9"
2017,Amérique du Nord,USA,USA,65359,15364,630093.0,"115,8"
2017,Amérique du Sud,Argentine,ARG,2121,213,27359.0,"153,9"
2017,Amérique du Sud,Autre Amérique du Sud,,587,105,7313.0,"153,8"
2017,Amérique du Sud,Brésil,BRA,1997,178,22561.0,"134,7"
2017,Amérique du Sud,Chili,CHL,1958,160,23414.0,"143,6"
2017,Asie,Autre Asie,,64,10,1534.0,"265,8"
2017,Asie,Chine,CHN,5430,216,48440.0,"111,4"
2017,Asie,Corée du Sud,KOR,1075,44,9439.0,"104,1"
2017,Asie,Hong Kong,HKG,370,38,3803.0,"122,8"
2017,Asie,Inde,IND,583,28,4119.0,"91,9"
2017,Asie,Indonésie,IDN,133,69,1573.0,"132,6"
2017,Asie,Japon,JPN,12808,494,87484.0,"82,7"
2017,Asie,Malaisie,MYS,137,13,2262.0,"216,2"
2017,Asie,Philippines,PHL,176,123,1725.0,"111,3"
2017,Asie,Singapour,SGP,321,30,3741.0,"135,3"
2017,Asie,Taïwan,TWN,579,39,5822.0,"116,1"
2017,Asie,Thaïlande,THA,215,33,3664.0,"225,3"
2017,Europe (hors France),Allemagne,DEU,3881,1249,64684.0,"201,2"
2017,Europe (hors France),Autre Europe,,1910,396,25267.0,159
2017,Europe (hors France),Autriche,AUT,601,243,9421.0,"190,2"
2017,Europe (hors France),Belgique,BEL,1092,241,21978.0,"239,4"
2017,Europe (hors France),Danemark,DNK,318,74,6121.0,"217,8"
2017,Europe (hors France),Espagne,ESP,2459,192,27034.0,"139,6"
2017,Europe (hors France),Finlande,FIN,165,25,2449.0,"181,6"
2017,Europe (hors France),Italie,ITA,7720,596,83327.0,"141,9"
2017,Europe (hors France),Luxembourg,LUX,133,23,2341.0,"224,5"
2017,Europe (hors France),Norvège,NOR,264,78,3592.0,"175,5"
2017,Europe (hors France),Pays-Bas,NLD,557,97,8602.0,183
2017,Europe (hors France),Portugal,PRT,296,50,3551.0,145
2017,Europe (hors France),Royaume-Uni,GBR,3768,993,44224.0,"140,9"
2017,Europe (hors France),Russie,RUS,472,130,5728.0,145
2017,Europe (hors France),Suède,SWE,356,97,4789.0,"168,8"
